employment_status,monthly_income,monthly_expenses,goal_types,target_amount,target_duration,risk_tolerance,investment_experience,savings_investment,existing_loans,financial_discipline,strategy_name,strategy_description,risk_level,duration_year,return_rate
retired,5000-10000,>10000,"['Buying house', 'education', 'emergency fund']",126024,16,low,advanced,5000-10000,>10000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,4,16.0%
employed,<5000,0,"['emergency fund', 'vacation', 'education']",442256,4,low,intermediate,5000-10000,<5000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,25.0%
retired,0,0,"['emergency fund', 'Buying house', 'vacation']",176843,8,moderate,intermediate,0,0,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,8,6.0%
self-employed,5000-10000,0,"['education', 'retirement', 'Buying house']",48047,3,high,intermediate,<5000,>10000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,4,13.4%
student,5000-10000,>10000,"['retirement', 'vacation', 'emergency fund']",261765,18,moderate,advanced,0,<5000,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,4,4.2%
unemployed,5000-10000,5000-10000,"['retirement', 'emergency fund', 'Buying house']",254792,8,high,beginner,0,>10000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,6,5.6%
student,5000-10000,0,"['Buying house', 'retirement', 'vacation']",108639,17,high,beginner,5000-10000,>10000,spender,Stable Income,Dividend-focused strategy for consistent income.,low,8,5.2%
self-employed,5000-10000,5000-10000,"['emergency fund', 'education', 'Buying house']",323195,9,high,intermediate,>10000,<5000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,4,4.9%
student,<5000,0,"['Buying house', 'emergency fund', 'vacation']",425950,7,moderate,beginner,>10000,0,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,7,7.0%
student,>10000,<5000,"['emergency fund', 'vacation', 'Buying house']",232532,5,low,advanced,0,>10000,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,7,5.7%
unemployed,5000-10000,>10000,"['education', 'vacation', 'emergency fund']",20749,2,high,beginner,<5000,<5000,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,24.2%
self-employed,>10000,>10000,"['vacation', 'Buying house', 'education']",96411,9,moderate,advanced,0,<5000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,6,6.4%
unemployed,>10000,5000-10000,"['emergency fund', 'vacation', 'retirement']",36005,14,moderate,advanced,0,5000-10000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,6,6.1%
self-employed,5000-10000,5000-10000,"['education', 'vacation', 'retirement']",306060,12,moderate,advanced,5000-10000,<5000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,10,6.9%
unemployed,>10000,5000-10000,"['emergency fund', 'Buying house', 'education']",405692,17,high,beginner,<5000,0,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,5,6.6%
retired,5000-10000,>10000,"['emergency fund', 'education', 'Buying house']",223500,9,low,advanced,0,0,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,6,5.3%
self-employed,<5000,>10000,"['Buying house', 'emergency fund', 'education']",42920,16,low,intermediate,0,>10000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,4,6.0%
retired,>10000,<5000,"['emergency fund', 'vacation', 'Buying house']",364447,16,high,intermediate,0,>10000,spender,Stable Income,Dividend-focused strategy for consistent income.,low,6,5.4%
retired,5000-10000,5000-10000,"['Buying house', 'vacation', 'retirement']",443458,18,high,beginner,<5000,<5000,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,4,15.2%
self-employed,5000-10000,<5000,"['retirement', 'vacation', 'education']",215198,10,moderate,advanced,<5000,0,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,5,10.7%
student,<5000,>10000,"['retirement', 'vacation', 'Buying house']",125118,2,moderate,advanced,5000-10000,5000-10000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,3,11.5%
student,0,5000-10000,"['education', 'vacation', 'retirement']",239963,19,high,beginner,<5000,5000-10000,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,5,12.7%
employed,0,5000-10000,"['retirement', 'Buying house', 'emergency fund']",490208,11,moderate,advanced,>10000,5000-10000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,6,10.6%
employed,>10000,>10000,"['Buying house', 'education', 'vacation']",50049,10,low,beginner,0,>10000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,5,6.5%
student,<5000,>10000,"['vacation', 'emergency fund', 'education']",83338,5,moderate,beginner,>10000,>10000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,7,11.8%
student,<5000,<5000,"['emergency fund', 'Buying house', 'education']",141513,8,high,beginner,0,>10000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,5,6.9%
self-employed,<5000,5000-10000,"['vacation', 'education', 'Buying house']",130725,19,high,intermediate,0,<5000,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,8,6.7%
student,>10000,<5000,"['Buying house', 'emergency fund', 'retirement']",419029,19,low,beginner,0,5000-10000,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,4,19.7%
student,0,5000-10000,"['Buying house', 'retirement', 'vacation']",145247,8,low,advanced,5000-10000,5000-10000,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,4,13.1%
student,>10000,>10000,"['emergency fund', 'Buying house', 'education']",62841,1,low,beginner,5000-10000,0,spender,Stable Income,Dividend-focused strategy for consistent income.,low,6,5.1%
student,<5000,0,"['emergency fund', 'Buying house', 'retirement']",216976,1,high,intermediate,>10000,<5000,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,4,23.4%
unemployed,0,5000-10000,"['retirement', 'education', 'emergency fund']",214288,10,low,advanced,<5000,0,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,23.2%
self-employed,0,0,"['vacation', 'emergency fund', 'Buying house']",373251,11,high,beginner,<5000,>10000,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,23.0%
employed,>10000,>10000,"['vacation', 'Buying house', 'emergency fund']",274659,7,high,advanced,5000-10000,5000-10000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,4,6.3%
unemployed,5000-10000,0,"['emergency fund', 'Buying house', 'education']",165230,20,moderate,intermediate,5000-10000,<5000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,9,5.7%
unemployed,5000-10000,<5000,"['emergency fund', 'retirement', 'education']",93995,15,high,intermediate,<5000,0,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,5,6.4%
student,0,<5000,"['Buying house', 'retirement', 'emergency fund']",458891,6,moderate,advanced,>10000,<5000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,9,6.8%
retired,<5000,0,"['vacation', 'Buying house', 'education']",445509,15,high,beginner,>10000,<5000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,5,4.4%
retired,<5000,<5000,"['emergency fund', 'education', 'retirement']",491767,15,moderate,beginner,5000-10000,5000-10000,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,4,20.7%
retired,5000-10000,<5000,"['education', 'Buying house', 'retirement']",134969,5,low,advanced,<5000,<5000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,5,6.4%
retired,<5000,>10000,"['education', 'vacation', 'retirement']",365902,1,low,beginner,0,<5000,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,16.4%
student,<5000,<5000,"['vacation', 'education', 'emergency fund']",151550,1,low,intermediate,0,<5000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,4,4.3%
student,0,0,"['vacation', 'education', 'emergency fund']",33633,4,moderate,intermediate,<5000,>10000,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,7,14.4%
retired,<5000,5000-10000,"['Buying house', 'education', 'retirement']",65487,17,moderate,advanced,<5000,5000-10000,balanced,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,9,6.8%
student,>10000,>10000,"['emergency fund', 'education', 'Buying house']",295162,10,moderate,advanced,<5000,0,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,3,4.6%
retired,0,<5000,"['education', 'vacation', 'retirement']",486499,13,low,intermediate,>10000,0,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,5,5.2%
employed,0,<5000,"['retirement', 'vacation', 'education']",239705,13,high,beginner,0,0,balanced,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,6,7.3%
self-employed,<5000,5000-10000,"['education', 'vacation', 'retirement']",263814,12,low,intermediate,0,>10000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,3,4.7%
employed,5000-10000,>10000,"['emergency fund', 'Buying house', 'vacation']",280750,15,low,intermediate,>10000,>10000,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,5,12.2%
unemployed,>10000,<5000,"['education', 'emergency fund', 'vacation']",450770,14,moderate,beginner,>10000,<5000,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,6,13.8%
student,5000-10000,<5000,"['retirement', 'vacation', 'education']",144073,20,low,advanced,<5000,>10000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,8,7.3%
employed,<5000,5000-10000,"['emergency fund', 'vacation', 'Buying house']",252088,1,low,beginner,5000-10000,<5000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,10,7.7%
retired,>10000,<5000,"['retirement', 'education', 'Buying house']",361744,8,high,beginner,>10000,5000-10000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,6,4.0%
student,0,>10000,"['emergency fund', 'vacation', 'Buying house']",363294,13,low,advanced,5000-10000,>10000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,5,5.3%
employed,<5000,0,"['education', 'retirement', 'Buying house']",142247,9,moderate,intermediate,<5000,>10000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,5,6.2%
employed,<5000,>10000,"['retirement', 'emergency fund', 'education']",138606,5,high,beginner,<5000,0,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,7,14.3%
self-employed,0,>10000,"['vacation', 'Buying house', 'education']",123105,12,moderate,advanced,5000-10000,5000-10000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,9,5.2%
unemployed,<5000,0,"['Buying house', 'retirement', 'education']",386486,11,low,beginner,5000-10000,5000-10000,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,6,3.2%
student,0,0,"['vacation', 'emergency fund', 'Buying house']",353666,17,low,intermediate,5000-10000,<5000,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,22.2%
unemployed,5000-10000,>10000,"['emergency fund', 'Buying house', 'education']",448060,10,low,advanced,<5000,<5000,spender,Stable Income,Dividend-focused strategy for consistent income.,low,4,4.4%
self-employed,0,5000-10000,"['vacation', 'emergency fund', 'retirement']",150290,15,low,beginner,<5000,0,spender,Stable Income,Dividend-focused strategy for consistent income.,low,4,5.6%
unemployed,5000-10000,<5000,"['vacation', 'Buying house', 'retirement']",77050,17,high,intermediate,<5000,5000-10000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,6,4.9%
self-employed,<5000,<5000,"['retirement', 'education', 'emergency fund']",318667,5,moderate,advanced,5000-10000,5000-10000,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,8,5.6%
student,5000-10000,>10000,"['emergency fund', 'education', 'vacation']",364355,9,high,intermediate,<5000,0,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,18.1%
employed,5000-10000,>10000,"['emergency fund', 'education', 'Buying house']",424440,7,low,advanced,<5000,>10000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,4,5.8%
retired,0,5000-10000,"['retirement', 'Buying house', 'vacation']",144621,19,low,advanced,0,0,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,5,5.0%
student,5000-10000,5000-10000,"['education', 'emergency fund', 'retirement']",393975,10,moderate,intermediate,>10000,5000-10000,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,9,5.4%
employed,0,>10000,"['emergency fund', 'vacation', 'Buying house']",428221,19,high,advanced,<5000,5000-10000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,6,4.9%
student,>10000,<5000,"['Buying house', 'education', 'retirement']",376110,16,moderate,beginner,5000-10000,5000-10000,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,7,5.8%
employed,<5000,0,"['emergency fund', 'Buying house', 'vacation']",165574,12,low,intermediate,0,5000-10000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,9,6.0%
unemployed,0,<5000,"['retirement', 'emergency fund', 'Buying house']",439291,19,high,advanced,0,5000-10000,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,4,10.8%
employed,<5000,5000-10000,"['Buying house', 'retirement', 'vacation']",423571,4,low,advanced,<5000,>10000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,23.2%
self-employed,>10000,0,"['education', 'Buying house', 'emergency fund']",111795,12,moderate,advanced,5000-10000,<5000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,7,6.8%
